cve,vendor_project,product,vulnerability_name,short_description,date_added,required_action,due_date,in_wild,initial_epss,initial_percentile,initial_date,current_epss,current_percentile,current_date,cvss_v3_base,cvss_v3_severity,cvss_v2_base,epss_delta
CVE-2009-4324,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability,Use-after-free vulnerability in Adobe Acrobat and Reader allows remote attackers to execute code via a crafted PDF file.,2022-06-08,Apply updates per vendor instructions.,2022-06-22,TRUE,0.92867,0.99769,2026-04-20,0.92864,0.9977,2026-04-23,NA,NA,NA,-0
CVE-2021-22204,Perl,Exiftool,ExifTool Remote Code Execution Vulnerability,Improper neutralization of user data in the DjVu file format in Exiftool versions 7.44 and up allows arbitrary code execution when parsing the malicious image,2021-11-17,Apply updates per vendor instructions.,2021-12-01,TRUE,0.92856,0.99767,2026-04-20,0.92856,0.99769,2026-04-23,NA,NA,NA,0
CVE-2018-14847,MikroTik,RouterOS,MikroTik Router OS Directory Traversal Vulnerability,MikroTik RouterOS through 6.42 allows unauthenticated remote attackers to read arbitrary files and remote authenticated attackers to write arbitrary files due to a directory traversal vulnerability in the WinBox interface.,2021-12-01,Apply updates per vendor instructions.,2022-06-01,TRUE,0.93645,0.99843,2026-04-20,0.92843,0.99768,2026-04-23,9.1,CRITICAL,6.4,-0.008
CVE-2022-3236,Sophos,Firewall,Sophos Firewall Code Injection Vulnerability,A code injection vulnerability in the User Portal and Webadmin of Sophos Firewall allows for remote code execution.,2022-09-23,Apply updates per vendor instructions.,2022-10-14,TRUE,0.92841,0.99765,2026-04-20,0.92841,0.99767,2026-04-23,NA,NA,NA,0
CVE-2010-1297,Adobe,Flash Player,Adobe Flash Player Memory Corruption Vulnerability,Adobe Flash Player contains a memory corruption vulnerability that allows remote attackers to execute code or cause denial-of-service (DoS).,2022-06-08,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-22,TRUE,0.92986,0.9978,2026-04-20,0.92838,0.99767,2026-04-23,NA,NA,NA,-0.0015
CVE-2025-64446,Fortinet,FortiWeb,Fortinet FortiWeb Path Traversal Vulnerability,Fortinet FortiWeb contains a relative path traversal vulnerability that may allow an unauthenticated attacker to execute administrative commands on the system via crafted HTTP or HTTPS requests.,2025-11-14,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-11-21,TRUE,0.93115,0.99795,2026-04-20,0.92825,0.99766,2026-04-23,NA,NA,NA,-0.0029
CVE-2023-22952,SugarCRM,Multiple Products,Multiple SugarCRM Products Remote Code Execution Vulnerability,"Multiple SugarCRM products contain a remote code execution vulnerability in the EmailTemplates. Using a specially crafted request, custom PHP code can be injected through the EmailTemplates.",2023-02-02,Apply updates per vendor instructions.,2023-02-23,TRUE,0.92822,0.99763,2026-04-20,0.92822,0.99765,2026-04-23,NA,NA,NA,0
CVE-2022-30333,RARLAB,UnRAR,RARLAB UnRAR Directory Traversal Vulnerability,"RARLAB UnRAR on Linux and UNIX contains a directory traversal vulnerability, allowing an attacker to write to files during an extract (unpack) operation.",2022-08-09,Apply updates per vendor instructions.,2022-08-30,TRUE,0.92811,0.99763,2026-04-20,0.92811,0.99765,2026-04-23,NA,NA,NA,0
CVE-2015-5122,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,Use-after-free vulnerability in the DisplayObject class in the ActionScript 3 (AS3) implementation in Adobe Flash Player allows remote attackers to execute code or cause a denial-of-service (DoS).,2022-04-13,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-04,TRUE,0.9278,0.9976,2026-04-20,0.9278,0.99763,2026-04-23,NA,NA,NA,0
CVE-2020-4427,IBM,Data Risk Manager,IBM Data Risk Manager Security Bypass Vulnerability,"IBM Data Risk Manager contains a security bypass vulnerability that could allow a remote attacker to bypass security restrictions when configured with SAML authentication. By sending a specially crafted HTTP request, an attacker could exploit this vulnerability to bypass the authentication process and gain full administrative access to the system.",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.9274,0.99756,2026-04-20,0.9274,0.99759,2026-04-23,NA,NA,NA,0
CVE-2020-5722,Grandstream,UCM6200,Grandstream Networks UCM6200 Series SQL Injection Vulnerability,Grandstream UCM6200 series is vulnerable to an unauthenticated remote SQL injection via crafted HTTP request. Exploitation can allow for code execution as root.,2022-01-28,Apply updates per vendor instructions.,2022-07-28,TRUE,0.92735,0.99755,2026-04-20,0.92735,0.99758,2026-04-23,NA,NA,NA,0
CVE-2019-1652,Cisco,Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers,Cisco Small Business Routers Improper Input Validation Vulnerability,"A vulnerability in the web-based management interface of Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers could allow an authenticated, remote attacker with administrative privileges on an affected device to execute arbitrary commands.",2022-03-03,Apply updates per vendor instructions.,2022-03-17,TRUE,0.93023,0.99785,2026-04-20,0.92727,0.99757,2026-04-23,NA,NA,NA,-0.003
CVE-2024-21762,Fortinet,FortiOS,Fortinet FortiOS Out-of-Bound Write Vulnerability,Fortinet FortiOS contains an out-of-bound write vulnerability that allows a remote unauthenticated attacker to execute code or commands via specially crafted HTTP requests.,2024-02-09,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-02-16,TRUE,0.92684,0.99751,2026-04-20,0.92719,0.99757,2026-04-23,NA,NA,NA,3e-4
CVE-2015-0311,Adobe,Flash Player,Adobe Flash Player Remote Code Execution Vulnerability,Unspecified vulnerability in Adobe Flash Player allows remote attackers to execute code.,2022-04-13,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-04,TRUE,0.92837,0.99764,2026-04-20,0.92716,0.99756,2026-04-23,NA,NA,NA,-0.0012
CVE-2020-2555,Oracle,Multiple Products,Oracle Multiple Products Remote Code Execution Vulnerability,"Multiple Oracle products contain a remote code execution vulnerability that allows an unauthenticated attacker with network access via T3 or HTTP to takeover the affected system. Impacted Oracle products: Oracle Coherence in Fusion Middleware, Oracle Utilities Framework, Oracle Retail Assortment Planning, Oracle Commerce, Oracle Communications Diameter Signaling Router (DSR).",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.92684,0.99751,2026-04-20,0.92684,0.99754,2026-04-23,NA,NA,NA,0
CVE-2013-0632,Adobe,ColdFusion,Adobe ColdFusion Authentication Bypass Vulnerability,An authentication bypass vulnerability exists in Adobe ColdFusion which could result in an unauthorized user gaining administrative access.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.92679,0.9975,2026-04-20,0.92679,0.99753,2026-04-23,NA,NA,NA,0
CVE-2017-0213,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,Microsoft Windows COM Aggregate Marshaler allows for privilege escalation when an attacker runs a specially crafted application.,2022-03-28,Apply updates per vendor instructions.,2022-04-18,TRUE,0.92691,0.99752,2026-04-20,0.92655,0.99751,2026-04-23,NA,NA,NA,-4e-4
CVE-2019-1003029,Jenkins,Script Security Plugin,Jenkins Script Security Plugin Sandbox Bypass Vulnerability,"Jenkins Script Security Plugin contains a protection mechanism failure, allowing an attacker to bypass the sandbox.",2022-04-25,Apply updates per vendor instructions.,2022-05-16,TRUE,0.92647,0.99748,2026-04-20,0.92647,0.9975,2026-04-23,NA,NA,NA,0
CVE-2021-40655,D-Link,DIR-605 Router,D-Link DIR-605 Router Information Disclosure Vulnerability,D-Link DIR-605 routers contain an information disclosure vulnerability that allows attackers to obtain a username and password by forging a post request to the /getcfg.php page. ,2024-05-16,This vulnerability affects legacy D-Link products. All associated hardware revisions have reached their end-of-life (EOL) or end-of-service (EOS) life cycle and should be retired and replaced per vendor instructions.,2024-06-06,TRUE,0.92608,0.99745,2026-04-20,0.92608,0.99747,2026-04-23,NA,NA,NA,0
CVE-2021-21220,Google,Chromium V8,Google Chromium V8 Improper Input Validation Vulnerability,"Google Chromium V8 Engine contains an improper input validation vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.92595,0.99744,2026-04-20,0.92595,0.99747,2026-04-23,NA,NA,NA,0
CVE-2011-3544,Oracle,Java SE JDK and JRE,Oracle Java SE Runtime Environment (JRE) Arbitrary Code Execution Vulnerability,An access control vulnerability exists in the Applet Rhino Script Engine component of Oracle's Java Runtime Environment allows an attacker to remotely execute arbitrary code.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.92545,0.9974,2026-04-20,0.92545,0.99743,2026-04-23,NA,NA,NA,0
CVE-2015-0313,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability,Use-after-free vulnerability in Adobe Flash Player allows remote attackers to execute code.,2022-04-13,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-04,TRUE,0.92807,0.99762,2026-04-20,0.92544,0.99742,2026-04-23,NA,NA,NA,-0.0026
CVE-2017-0261,Microsoft,Office,Microsoft Office Use-After-Free Vulnerability,Microsoft Office contains a use-after-free vulnerability which can allow for remote code execution.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.92527,0.99739,2026-04-20,0.92527,0.99741,2026-04-23,NA,NA,NA,0
CVE-2023-41265,Qlik,Sense,Qlik Sense HTTP Tunneling Vulnerability,Qlik Sense contains an HTTP tunneling vulnerability that allows an attacker to escalate privileges and execute HTTP requests on the backend server hosting the software.,2023-12-07,Apply remediations or mitigations per vendor instructions or discontinue use of the product if remediation or mitigations are unavailable.,2023-12-28,TRUE,0.92519,0.99739,2026-04-20,0.92519,0.99741,2026-04-23,NA,NA,NA,0
CVE-2025-47812,Wing FTP Server,Wing FTP Server,Wing FTP Server Improper Neutralization of Null Byte or NUL Character Vulnerability,Wing FTP Server contains an improper neutralization of null byte or NUL character vulnerability that can allow injection of arbitrary Lua code into user session files. This can be used to execute arbitrary system commands with the privileges of the FTP service (root or SYSTEM by default).,2025-07-14,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-08-04,TRUE,0.92481,0.99735,2026-04-20,0.92481,0.99737,2026-04-23,NA,NA,NA,0
CVE-2019-5544,VMware,VMware ESXi and Horizon DaaS,VMware ESXi and Horizon DaaS OpenSLP Heap-Based Buffer Overflow Vulnerability,VMware ESXi and Horizon Desktop as a Service (DaaS) OpenSLP contains a heap-based buffer overflow vulnerability that allows an attacker with network access to port 427 to overwrite the heap of the OpenSLP service to perform remote code execution.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.92481,0.99735,2026-04-20,0.92481,0.99737,2026-04-23,NA,NA,NA,0
CVE-2021-26411,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability,Microsoft Internet Explorer contains an unspecified vulnerability that allows for memory corruption.,2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.92473,0.99734,2026-04-20,0.92473,0.99736,2026-04-23,NA,NA,NA,0
CVE-2021-3156,Sudo,Sudo,Sudo Heap-Based Buffer Overflow Vulnerability,"Sudo contains an off-by-one error that can result in a heap-based buffer overflow, which allows for privilege escalation.",2022-04-06,Apply updates per vendor instructions.,2022-04-27,TRUE,0.92309,0.99723,2026-04-20,0.92456,0.99736,2026-04-23,NA,NA,NA,0.0015
CVE-2019-20500,D-Link,DWL-2600AP Access Point,D-Link DWL-2600AP Access Point Command Injection Vulnerability,"D-Link DWL-2600AP access point contains an authenticated command injection vulnerability via the Save Configuration functionality in the Web interface, using shell metacharacters in the admin.cgi?action=config_save configBackup or downloadServerip parameter.",2023-06-29,Apply updates per vendor instructions or discontinue use of the product if updates are unavailable.,2023-07-20,TRUE,0.92453,0.99734,2026-04-20,0.92453,0.99735,2026-04-23,NA,NA,NA,0
CVE-2013-3906,Microsoft,Graphics Component,Microsoft Graphics Component Memory Corruption Vulnerability,Microsoft Graphics Component contains a memory corruption vulnerability which can allow for remote code execution.,2022-02-15,Apply updates per vendor instructions.,2022-08-15,TRUE,0.92628,0.99746,2026-04-20,0.92451,0.99735,2026-04-23,7.8,HIGH,9.3,-0.0018
CVE-2024-13161,Ivanti,Endpoint Manager (EPM),Ivanti Endpoint Manager (EPM) Absolute Path Traversal Vulnerability,Ivanti Endpoint Manager (EPM) contains an absolute path traversal vulnerability that allows a remote unauthenticated attacker to leak sensitive information.,2025-03-10,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-03-31,TRUE,0.92431,0.99732,2026-04-20,0.92431,0.99734,2026-04-23,NA,NA,NA,0
CVE-2015-3113,Adobe,Flash Player,Adobe Flash Player Heap-Based Buffer Overflow Vulnerability,Heap-based buffer overflow vulnerability in Adobe Flash Player allows remote attackers to execute code.,2022-04-13,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-04,TRUE,0.9242,0.99731,2026-04-20,0.9242,0.99733,2026-04-23,NA,NA,NA,0
CVE-2017-0147,Microsoft,SMBv1 server,Microsoft Windows SMBv1 Information Disclosure Vulnerability,The SMBv1 server in Microsoft Windows allows remote attackers to obtain sensitive information from process memory via a crafted packet.,2022-05-24,Apply updates per vendor instructions.,2022-06-14,TRUE,0.92418,0.99731,2026-04-20,0.92418,0.99732,2026-04-23,7.5,HIGH,4.3,0
CVE-2013-0640,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Memory Corruption Vulnerability,An memory corruption vulnerability exists in the acroform.dll in Adobe Reader that allows an attacker to perform remote code execution.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.92355,0.99727,2026-04-20,0.92355,0.9973,2026-04-23,NA,NA,NA,0
CVE-2015-1427,Elastic,Elasticsearch,Elasticsearch Groovy Scripting Engine Remote Code Execution Vulnerability,The Groovy scripting engine in Elasticsearch allows remote attackers to bypass the sandbox protection mechanism and execute arbitrary shell commands.,2022-03-25,Apply updates per vendor instructions.,2022-04-15,TRUE,0.92326,0.99724,2026-04-20,0.92326,0.99726,2026-04-23,NA,NA,NA,0
CVE-2020-4428,IBM,Data Risk Manager,IBM Data Risk Manager Remote Code Execution Vulnerability,"IBM Data Risk Manager contains an unspecified vulnerability which could allow a remote, authenticated attacker to execute commands on the system.�",2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.92289,0.99722,2026-04-20,0.92289,0.99724,2026-04-23,NA,NA,NA,0
CVE-2022-26318,WatchGuard,Firebox and XTM Appliances,WatchGuard Firebox and XTM Appliances Arbitrary Code Execution,"On WatchGuard Firebox and XTM appliances, an unauthenticated user can execute arbitrary code.",2022-03-25,Apply updates per vendor instructions.,2022-04-15,TRUE,0.92232,0.99718,2026-04-20,0.92232,0.99721,2026-04-23,NA,NA,NA,0
CVE-2018-17463,Google,Chromium V8,Google Chromium V8 Remote Code Execution Vulnerability,"Google Chromium V8 Engine contains an unspecified vulnerability that allows a remote attacker to execute code inside a sandbox via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",2022-06-08,Apply updates per vendor instructions.,2022-06-22,TRUE,0.92199,0.99716,2026-04-20,0.92199,0.99719,2026-04-23,NA,NA,NA,0
CVE-2023-20273,Cisco,Cisco IOS XE Web UI,Cisco IOS XE Web UI Command Injection Vulnerability,"Cisco IOS XE contains a command injection vulnerability in the web user interface. When chained with CVE-2023-20198, the attacker can leverage the new local user to elevate privilege to root and write the implant to the file system. Cisco identified CVE-2023-20273 as the vulnerability exploited to deploy the implant. CVE-2021-1435, previously associated with the exploitation events, is no longer believed to be related to this activity.",2023-10-23,"Verify that instances of Cisco IOS XE Web UI are in compliance with BOD 23-02 and apply mitigations per vendor instructions. For affected products (Cisco IOS XE Web UI exposed to the internet or to untrusted networks), follow vendor instructions to determine if a system may have been compromised and immediately report positive findings to CISA.",2023-10-27,TRUE,0.92384,0.99729,2026-04-20,0.92164,0.99716,2026-04-23,7.2,HIGH,NA,-0.0022
CVE-2010-2568,Microsoft,Windows,Microsoft Windows Remote Code Execution Vulnerability,Microsoft Windows incorrectly parses shortcuts in such a way that malicious code may be executed when the operating system displays the icon of a malicious shortcut file. An attacker who successfully exploited this vulnerability could execute code as the logged-on user.,2022-09-15,Apply updates per vendor instructions.,2022-10-06,TRUE,0.92134,0.99712,2026-04-20,0.92134,0.99715,2026-04-23,NA,NA,NA,0
CVE-2015-0016,Microsoft,Windows,Microsoft Windows TS WebProxy Directory Traversal Vulnerability,Directory traversal vulnerability in the TS WebProxy (TSWbPrxy) component in Microsoft Windows allows remote attackers to escalate privileges.,2022-05-25,Apply updates per vendor instructions.,2022-06-15,TRUE,0.92094,0.9971,2026-04-20,0.92094,0.99714,2026-04-23,NA,NA,NA,0
CVE-2016-20017,D-Link,DSL-2750B Devices,D-Link DSL-2750B Devices Command Injection Vulnerability,"D-Link DSL-2750B devices contain a command injection vulnerability that allows remote, unauthenticated command injection via the login.cgi cli parameter.",2024-01-08,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-01-29,TRUE,0.92091,0.9971,2026-04-20,0.92091,0.99713,2026-04-23,NA,NA,NA,0
CVE-2014-4114,Microsoft,Windows,Microsoft Windows Object Linking & Embedding (OLE) Remote Code Execution Vulnerability,A vulnerability exists in Windows Object Linking & Embedding (OLE) that could allow remote code execution if a user opens a file that contains a specially crafted OLE object.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.92097,0.99711,2026-04-20,0.9209,0.99713,2026-04-23,NA,NA,NA,-1e-4
CVE-2011-0609,Adobe,Flash Player,Adobe Flash Player Unspecified Vulnerability,Adobe Flash Player contains an unspecified vulnerability that allows remote attackers to execute code or cause denial-of-service (DoS).,2022-06-08,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-22,TRUE,0.92079,0.99709,2026-04-20,0.92079,0.99712,2026-04-23,7.8,HIGH,9.3,0
CVE-2010-0840,Oracle,Java Runtime Environment (JRE),Oracle JRE Unspecified Vulnerability,"Unspecified vulnerability in the Java Runtime Environment (JRE) in Java SE component allows remote attackers to affect confidentiality, integrity, and availability via Unknown vectors.",2022-05-25,Apply updates per vendor instructions.,2022-06-15,TRUE,0.92077,0.99708,2026-04-20,0.92077,0.99711,2026-04-23,NA,NA,NA,0
CVE-2022-21445,Oracle,ADF Faces,Oracle ADF Faces Deserialization of Untrusted Data Vulnerability,"Oracle ADF Faces library, included with Oracle JDeveloper Distribution, contains a deserialization of untrusted data vulnerability leading to unauthenticated remote code execution.",2024-09-18,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-10-09,TRUE,0.92027,0.99705,2026-04-20,0.92027,0.99708,2026-04-23,NA,NA,NA,0
CVE-2020-17144,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,Microsoft Exchange Server improperly validates cmdlet arguments which allow an attacker to perform remote code execution.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.92003,0.99703,2026-04-20,0.92003,0.99707,2026-04-23,NA,NA,NA,0
CVE-2019-1458,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k EoP.",2022-01-10,Apply updates per vendor instructions.,2022-07-10,TRUE,0.91991,0.99702,2026-04-20,0.91991,0.99705,2026-04-23,NA,NA,NA,0
CVE-2017-11317,Telerik,User Interface (UI) for ASP.NET AJAX,Telerik UI for ASP.NET AJAX Unrestricted File Upload Vulnerability,Telerik.Web.UI in Progress Telerik UI for ASP.NET AJAX allows remote attackers to perform arbitrary file uploads or execute arbitrary code.,2022-04-11,Apply updates per vendor instructions.,2022-05-02,TRUE,0.91774,0.9969,2026-04-20,0.91967,0.99703,2026-04-23,9.8,CRITICAL,7.5,0.0019
CVE-2021-37415,Zoho,ManageEngine ServiceDesk Plus (SDP),Zoho ManageEngine ServiceDesk Authentication Bypass Vulnerability,Zoho ManageEngine ServiceDesk Plus before 11302 is vulnerable to authentication bypass that allows a few REST-API URLs without authentication,2021-12-01,Apply updates per vendor instructions.,2021-12-15,TRUE,0.91971,0.997,2026-04-20,0.91919,0.997,2026-04-23,NA,NA,NA,-5e-4
CVE-2022-28810,Zoho,ManageEngine,Zoho ManageEngine ADSelfService Plus Remote Code Execution Vulnerability,Zoho ManageEngine ADSelfService Plus contains an unspecified vulnerability allowing for remote code execution when performing a password change or reset.,2023-03-07,Apply updates per vendor instructions.,2023-03-28,TRUE,0.91816,0.99692,2026-04-20,0.91816,0.99694,2026-04-23,NA,NA,NA,0
CVE-2025-3248,Langflow,Langflow,Langflow Missing Authentication Vulnerability,"Langflow contains a missing authentication vulnerability in the /api/v1/validate/code endpoint that allows a remote, unauthenticated attacker to execute arbitrary code via crafted HTTP requests.",2025-05-05,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-05-26,TRUE,0.9208,0.99709,2026-04-20,0.91805,0.99694,2026-04-23,NA,NA,NA,-0.0027
CVE-2011-2462,Adobe,Reader and Acrobat,Adobe Reader and Acrobat Universal 3D Memory Corruption Vulnerability,The Universal 3D (U3D) component in Adobe Reader and Acrobat contains a memory corruption vulnerability which could allow remote attackers to execute code or cause denial-of-service (DoS).,2022-06-08,Apply updates per vendor instructions.,2022-06-22,TRUE,0.91933,0.99698,2026-04-20,0.91799,0.99693,2026-04-23,NA,NA,NA,-0.0013
CVE-2021-40449,Microsoft,Windows,Microsoft Windows Win32k Privilege Escalation Vulnerability,Unspecified vulnerability allows for an authenticated user to escalate privileges.,2021-11-17,Apply updates per vendor instructions.,2021-12-01,TRUE,0.91732,0.99686,2026-04-20,0.91785,0.99693,2026-04-23,NA,NA,NA,5e-4
CVE-2012-4969,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,Microsoft Internet Explorer contains a use-after-free vulnerability that allows remote attackers to execute code via a crafted web site.,2022-06-08,Apply updates per vendor instructions.,2022-06-22,TRUE,0.91777,0.9969,2026-04-20,0.91777,0.99692,2026-04-23,NA,NA,NA,0
CVE-2019-0752,Microsoft,Internet Explorer,Microsoft Internet Explorer Type Confusion Vulnerability,A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer,2022-02-15,Apply updates per vendor instructions.,2022-08-15,TRUE,0.91763,0.99689,2026-04-20,0.91763,0.99691,2026-04-23,NA,NA,NA,0
CVE-2015-2426,Microsoft,Windows,Microsoft Windows Adobe Type Manager Library Remote Code Execution Vulnerability,A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles specially crafted OpenType fonts.,2022-03-28,Apply updates per vendor instructions.,2022-04-18,TRUE,0.91754,0.99689,2026-04-20,0.91754,0.9969,2026-04-23,NA,NA,NA,0
CVE-2024-27199,JetBrains,TeamCity,JetBrains TeamCity Relative Path Traversal Vulnerability,JetBrains TeamCity contains a relative path traversal vulnerability that could allow limited admin actions to be performed.,2026-04-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2026-05-04,TRUE,0.82472,0.99232,2026-04-20,0.91744,0.99689,2026-04-23,7.3,HIGH,NA,0.0927
CVE-2020-1380,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,Microsoft Internet Explorer contains a memory corruption vulnerability which can allow for remote code execution in the context of the current user.,2021-11-03,Apply updates per vendor instructions.,2022-05-03,TRUE,0.91733,0.99687,2026-04-20,0.91733,0.99688,2026-04-23,7.8,HIGH,7.6,0
CVE-2012-5076,Oracle,Java SE,Oracle Java SE Sandbox Bypass Vulnerability,The default Java security properties configuration did not restrict access to the com.sun.org.glassfish.external and com.sun.org.glassfish.gmbal packages. An untrusted Java application or applet could use these flaws to bypass Java sandbox restrictions.,2022-03-28,Apply updates per vendor instructions.,2022-04-18,TRUE,0.9171,0.99685,2026-04-20,0.9171,0.99687,2026-04-23,NA,NA,NA,0
CVE-2021-20021,SonicWall,SonicWall Email Security,SonicWall Email Security Improper Privilege Management Vulnerability,SonicWall Email Security contains an improper privilege management vulnerability that allows an attacker to create an administrative account by sending a crafted HTTP request to the remote host. This vulnerability has known usage in a SonicWall Email Security exploit chain along with CVE-2021-20022 and CVE-2021-20023 to achieve privilege escalation.,2021-11-03,Apply updates per vendor instructions.,2021-11-17,TRUE,0.91704,0.99684,2026-04-20,0.91704,0.99686,2026-04-23,NA,NA,NA,0
CVE-2023-24955,Microsoft,SharePoint Server,Microsoft SharePoint Server Code Injection Vulnerability,Microsoft SharePoint Server contains a code injection vulnerability that allows an authenticated attacker with Site Owner privileges to execute code remotely.,2024-03-26,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-04-16,TRUE,0.91622,0.9968,2026-04-20,0.91677,0.99685,2026-04-23,NA,NA,NA,5e-4
CVE-2012-1535,Adobe,Flash Player,Adobe Flash Player Arbitrary Code Execution Vulnerability,Unspecified vulnerability in Adobe Flash Player allows remote attackers to execute arbitrary code or cause a denial of service via crafted SWF content.,2022-03-03,The impacted product is end-of-life and should be disconnected if still in use.,2022-03-24,TRUE,0.91607,0.99679,2026-04-20,0.91607,0.99681,2026-04-23,NA,NA,NA,0
CVE-2013-0431,Oracle,Java Runtime Environment (JRE),Oracle JRE Sandbox Bypass Vulnerability,Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle allows remote attackers to bypass the Java security sandbox.,2022-05-25,Apply updates per vendor instructions.,2022-06-15,TRUE,0.91587,0.99678,2026-04-20,0.91587,0.9968,2026-04-23,NA,NA,NA,0
CVE-2019-12989,Citrix,SD-WAN and NetScaler,Citrix SD-WAN and NetScaler SQL Injection Vulnerability,Citrix SD-WAN and NetScaler SD-WAN allow SQL Injection.,2022-03-25,Apply updates per vendor instructions.,2022-04-15,TRUE,0.9156,0.99677,2026-04-20,0.9156,0.99679,2026-04-23,9.8,CRITICAL,7.5,0
CVE-2025-30066,tj-actions,changed-files GitHub Action,tj-actions/changed-files GitHub Action Embedded Malicious Code Vulnerability,"tj-actions/changed-files GitHub Action contains an embedded malicious code vulnerability that allows a remote attacker to discover secrets by reading Github Actions Workflow Logs. These secrets may include, but are not limited to, valid AWS access keys, GitHub personal access tokens (PATs), npm tokens, and private RSA keys.",2025-03-18,"Apply mitigations as set forth in the CISA instructions linked below. Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-04-08,TRUE,0.91329,0.99659,2026-04-20,0.91558,0.99679,2026-04-23,NA,NA,NA,0.0023
CVE-2012-1856,Microsoft,Office,Microsoft Office MSCOMCTL.OCX Remote Code Execution Vulnerability,The TabStrip ActiveX control in the Common Controls in MSCOMCTL.OCX in Microsoft Office allows remote attackers to execute arbitrary code via a crafted (1) document or (2) web page that triggers system-state corruption.,2022-03-03,Apply updates per vendor instructions.,2022-03-24,TRUE,0.91552,0.99677,2026-04-20,0.91552,0.99678,2026-04-23,NA,NA,NA,0
CVE-2012-0754,Adobe,Flash Player,Adobe Flash Player Memory Corruption Vulnerability,Adobe Flash Player contains a memory corruption vulnerability that allows remote attackers to execute code or cause denial-of-service (DoS).,2022-06-08,The impacted product is end-of-life and should be disconnected if still in use.,2022-06-22,TRUE,0.91543,0.99676,2026-04-20,0.91543,0.99677,2026-04-23,NA,NA,NA,0
